pmid	doi://10.1101/2020.06.24.162156										
tree	https://raw.githubusercontent.com/globalmicrobialidentifier-WG3/datasets/master/datasets/trees/sars-cov-2-coronahit-routine.dnd										
Outbreak	Coronahit routine										
source	Nabil-Fareed Alikhan										
Organism	SARS-CoV-2										
dataType	resequencing consistency check										
											
SRArun_acc	biosample_acc	dataSetName	genBankAssembly	nucleotide	outbreak	sha256sumAssembly	sha256sumRead1	sha256sumRead2	sha256sumnucleotide	strain	suggestedReference
ERR4968986	ERS5446071	Coronahit routine	-	LR963190	NORW-EC6AE	-	eff27ddf33c35366bd9abf6fc3b18c0e067a20758478cd0ca5915a9e390647ae	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	f22adf9eb8fef87705f0fc01160ff825a86b9b96e4a26f16a58d5e20ad790e55	NORW-EC6AE_CoronaHiT-ONT	FALSE
ERR4969112	ERS5446064	Coronahit routine	-	LR963192	NORW-EC6BD	-	cd299c88de5f9f07c97a4001f5db6dd641fa298e4eeb92bbf01f11e32ad19c60	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	b92618ed523d146d3c08e50060b3d2690eed0c9cc1e73ea722b3295e285581f8	NORW-EC6BD_ARTIC_LoCost	FALSE
ERR4970068	ERS5446064	Coronahit routine	-	LR963192	NORW-EC6BD	-	063fb0430020963ce2d19d7f39dae5930b4a91c7cef2cc202f5a17f90a189288	93f71f3db3fd9f84ff639e2ad9e66de59ec849347b808d20013906141c766ec4	b92618ed523d146d3c08e50060b3d2690eed0c9cc1e73ea722b3295e285581f8	NORW-EC6BD_CoronaHiT-Illumina	FALSE
ERR4968989	ERS5446064	Coronahit routine	-	LR963192	NORW-EC6BD	-	8420f97b238fa6486aecf45d406f4dcdf99a7ac1f718ba8657c03eea91e561b8	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	b92618ed523d146d3c08e50060b3d2690eed0c9cc1e73ea722b3295e285581f8	NORW-EC6BD_CoronaHiT-ONT	FALSE
ERR4969102	ERS5446072	Coronahit routine	-	LR963202	NORW-EC6DB	-	0ff04276c1559408224707f1227dd25da3efe33bd67976920e092116b3d2133b	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	6af7b2b6824c2d3a2a0d2108ec102c09220266ed7993afa5f6645db31fe4e445	NORW-EC6DB_ARTIC_LoCost	FALSE
ERR4970088	ERS5446072	Coronahit routine	-	LR963202	NORW-EC6DB	-	97683ce4d5c0cf8a19cdde7f714cf69b164347f5102e4d04cc784669788eb5b3	f0391ba9bf418d40ed4b92caf2c2f720f4851e346d87be63735a74fc2cc239ee	6af7b2b6824c2d3a2a0d2108ec102c09220266ed7993afa5f6645db31fe4e445	NORW-EC6DB_CoronaHiT-Illumina	FALSE
ERR4968997	ERS5446072	Coronahit routine	-	LR963202	NORW-EC6DB	-	ef8171b0359c81101b7667a5f3744e5e5ee02639cc89ef7eb68ae4a29e7ebec6	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	6af7b2b6824c2d3a2a0d2108ec102c09220266ed7993afa5f6645db31fe4e445	NORW-EC6DB_CoronaHiT-ONT	FALSE
ERR4969067	ERS5446090	Coronahit routine	-	LR963234	NORW-EC6EA	-	66686b4cf54a0e7b5cebfe0746c1bd073d30983b82e2373afbc806ce1a6ca255	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	217eac104e0c1b8d72e8dee4969d066433c4df59ef1f90fbecba84de1cf482e1	NORW-EC6EA_ARTIC_LoCost	FALSE
ERR4970094	ERS5446090	Coronahit routine	-	LR963234	NORW-EC6EA	-	24c24bbf2a6ada37d9d1649a37b6be38d0688022cb7ecf57286071625153c082	7fc76ecbb28c4df3689fda5617a563dbe1ac19fc200d49a19d370338ae507d7d	217eac104e0c1b8d72e8dee4969d066433c4df59ef1f90fbecba84de1cf482e1	NORW-EC6EA_CoronaHiT-Illumina	FALSE
ERR4969035	ERS5446090	Coronahit routine	-	LR963234	NORW-EC6EA	-	6c4bf9d8e79b1e735bd465778792a2829486e7cbe7a635d79a3a462aa3091cf7	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	217eac104e0c1b8d72e8dee4969d066433c4df59ef1f90fbecba84de1cf482e1	NORW-EC6EA_CoronaHiT-ONT	FALSE
