Organism	Escherichia coli								
Outbreak	n/a								
pmid	PMC5217230								
tree	https://api.opentreeoflife.org/v3/study/ot_1226/tree/tree1.tre								
tree 2	https://api.opentreeoflife.org/v3/study/ot_1226/tree/tree2.tre								
source	Center for Biological Sequence Analysis, DTU Bioinformatics, Technical University of Denmark, Kongens Lyngby, Denmark								
dataType	In vitro evolution experiment								
intendedUse	phylogenomic pipeline validation								
Comment	"tree: true tree
tree 2: CSI inferred tree"								
									
biosample_acc	strain	genBankAssembly	SRArun_acc	outbreak	dataSetName	suggestedReference	sha256sumAssembly	sha256sumRead1	sha256sumRead2
SAMN05290666	DTU-1_1_2_1_1_1_1		SRR3736561		Experimental evolution	FALSE		9cb9edeb8471856ff6e90b3a76978fcc186afca1fe3fba9eade657fbc285b571	5e1249c8d389c866440df973e42250895120898adb72d6d1b93f6ab1797cb0c2
SAMN05290667	DTU-1_1_2_1_1_1_1_1		SRR3736562		Experimental evolution	FALSE		434ab6d7772ba9b20cd4a9cdd39832fc27378b378379b04795f925f6038cebea	984fafe93f52e107271eafc3b605db9e314af6526c36b369f36dd7d17b746464
SAMN05290668	DTU-1_1_2_1_1_1_1_2		SRR3736563		Experimental evolution	FALSE		e5ed511046b7b2d43f5859812b0cad998dbdda0dbc285241e521faebafd7e978	ae1789bceace23f7b73b18f2f7dc0e6947c33c6862288e9175deeb41bf9f0f0b
SAMN05290669	DTU-1_1_2_1_1_2		SRR3736564		Experimental evolution	FALSE		682a3d34b085fddaf0d0d0ae8f93b86b457818c7f3ecf04c6faac7fae94aead3	f5b5c1c081322b29825e2387e9d39cde5b445b878a07e07f9c0f4228348eae26
SAMN05290670	DTU-1_1_2_1_2		SRR3736565		Experimental evolution	FALSE		87c4c68c6822435ce4ec51b6aee7bf78fe15ab3c65d74e52a719367aaa8c516c	9837a9a8da4651e73ad43be192017cc0b87f415849c9a5e47836e745e5b112c0
SAMN05290671	DTU-1_1_2_1_2_1		SRR3736566		Experimental evolution	FALSE		ae8ed9089fbbfe2a2521b110c30fcb40267021b7d6fe6e1c3946b50be40c7631	e62ad11f736a9931095217c6a422067441ad8138c1d2018fa64e488ace37b129
SAMN05290672	DTU-1_1_2_1_2_1_1		SRR3736568		Experimental evolution	FALSE		290cfdef715d06dd6e617944b0983aa1ce4aec1f5367b5a5b15656c8d4436c20	b57616cd44ff7cc4adc145d92ed1ef84e1dd9b54bdc5870a97dd65ab20337bb1
SAMN05290673	DTU-1_1_2_1_2_1_1_1		SRR3736569		Experimental evolution	FALSE		9dfcbde2ff88ba05c57ddb04995752f44f7af4ede095bdac303f849214070501	3d5a0d31fb780e3c341b23f2d0775cce7de64322fd00a942225c31947d7a47cf
SAMN05290674	DTU-1_1_2_1_2_1_1_2		SRR3736570		Experimental evolution	FALSE		16c3c1f63b4e7a09cc5dd17b067200f8207f50c9d05de9f5ba35b1f6ed3a5f3e	9b5372529491d8569176c43de5f1b493a4177542a9009b3e1a99f1021515b347
SAMN05290675	DTU-1_1_2_1_2_1_2		SRR3736571		Experimental evolution	FALSE		eb0894090a38097841cf03b59ef0f5ad3dafe208c57acfe78b547f3c8518e67b	064e884277ff33a6f7e756e2807e1a068f9f9fae59e76ee8f0360c7e336178fd
SAMN05290676	DTU-1_1_2_1_2_1_2_1		SRR3736572		Experimental evolution	FALSE		073135b97d3816618a90f45bbeaa31812353eed88251b98ede6f178bb260c911	0822672fc8ee968a892112f472d4a930f515fd32d6858ca7cc0dbe30335eb97f
SAMN05290677	DTU-1_1_2_1_2_1_2_2		SRR3736573		Experimental evolution	FALSE		4d9d01bc3e0c1c7ea1e93c71d399e019d17fa2744509e9d688fdae368cf745ce	734f76a304dae84bca3027d11d39f58bccdd96942ea66aebf9a198958407cf6f
SAMN05290678	DTU-1_1_2_1_2_2_1		SRR3736574		Experimental evolution	FALSE		297b1ec45fffb019d8391d140aab2cca0122dbe83b6be0cb71e242d1f86b7d7c	9af8f15246d3353bd53d1fd49a4c229c422065b1dca1d822637d301979872428
SAMN05290679	DTU-1_1_2_1_2_2_1_1		SRR3736575		Experimental evolution	FALSE		fd173ac8f5f88abed585283b10f3de1e9f9b3912f473d4f5aa21700af4ebef23	28a53c40f910d46039904bbdb7c5e61cdfdc1903adfec5604423846bd936c70a
SAMN05290680	DTU-1_1_2_1_2_2_2		SRR3736576		Experimental evolution	FALSE		a1187c5bbb9717694cf91b96c3b47ec5aaedfc3a10afc75da9e5f7c2d0e3b96e	3d3f3d1d377d3881bf7d3ba61c606ff0771d1c922621d2e18585da5641eeb295
SAMN05290681	DTU-1_1_2_1_2_2_2_1		SRR3736577		Experimental evolution	FALSE		2eb932f3eb71de59aa4ef6aaa0fc34e9f61b9aeebe300be7c864aa41d5deb222	ed8337d1944005ebcf5d37c7c8d06425a51bdbc027d85e8966c8f3d5469e3035
SAMN05290682	DTU-1_1_2_1_2_2_2_2		SRR3736578		Experimental evolution	FALSE		ebabe76a2303e57e87fec207e407f6e69e8cd0fea7e66b832e8c60e7a649e212	96134b37de1494163383d23cd43b8ac04b980183d9960c93c957b5b8b172d7bb
SAMN05290683	DTU-1_1_2_2		SRR3736579		Experimental evolution	FALSE		396469670583dbbe0a8dda4a6592b15dfef62185d39b8e5d9ee3856280c4148d	73f9e43633fc8ff622369103d034b687f76be46022a26048307489a771aa60b3
