pmid	doi://10.1101/2020.06.24.162156										
tree	https://raw.githubusercontent.com/globalmicrobialidentifier-WG3/datasets/master/datasets/trees/sars-cov-2-coronahit-routine.dnd										
Outbreak	Coronahit routine										
source	Nabil-Fareed Alikhan										
Organism	SARS-CoV-2										
dataType	resequencing consistency check										
											
SRArun_acc	biosample_acc	dataSetName	genBankAssembly	nucleotide	outbreak	sha256sumAssembly	sha256sumRead1	sha256sumRead2	sha256sumnucleotide	strain	suggestedReference
ERR4970109	ERS5446112	Coronahit routine	-	LR963195	NORW-EB33F	-	3636e1d50db635ec1f664fdf8ef549bfd889e5bad9bc0761284a6c5ae39667c4	0344e674607fced53121044a46857bd85af609816d9be4a1c2a3eb008ecacc93	fa8956152b7c7011ae64d2c99d08b86015474ee8a160aa781ff1dd23ae78d4aa	NORW-EB33F_CoronaHiT-Illumina	FALSE
ERR4968983	ERS5446112	Coronahit routine	-	LR963195	NORW-EB33F	-	93c5a24b6d8f10a1a98461532e951f9bdb246b114cf4fd6707aed7d77f0248ca	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	fa8956152b7c7011ae64d2c99d08b86015474ee8a160aa781ff1dd23ae78d4aa	NORW-EB33F_CoronaHiT-ONT	FALSE
ERR4969073	ERS5446101	Coronahit routine	-	LR963235	NORW-EB34E	-	f5569eea040ea8eda7c47049a5dd2c7d31811334afaffef0c448788841923324	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	2454b94754b52d15dee11cdc89895b55d914709517d37812e64cbf3bcdffe2bb	NORW-EB34E_ARTIC_LoCost	FALSE
ERR4970117	ERS5446101	Coronahit routine	-	LR963235	NORW-EB34E	-	0dbf53e1a06669e032878bf86598551e8126104d3ec4828636cfa66120e4f400	4eb096be230f8e23c53d8050dafbb0ed339f57452212082535d460ad2a527f8e	2454b94754b52d15dee11cdc89895b55d914709517d37812e64cbf3bcdffe2bb	NORW-EB34E_CoronaHiT-Illumina	FALSE
ERR4969015	ERS5446101	Coronahit routine	-	LR963235	NORW-EB34E	-	4ca85c99c4a294f5bd8bb6e72c487daa8055c225514eff3d85e0e2ac8f430c7c	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	2454b94754b52d15dee11cdc89895b55d914709517d37812e64cbf3bcdffe2bb	NORW-EB34E_CoronaHiT-ONT	FALSE
ERR4969099	ERS5446098	Coronahit routine	-	LR963203	NORW-EB36C	-	b2312ff3ab43054bf3bf1a4b715574221ea5b263e48273e6858c104d3912d3bd	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	1c5e292644b762ebc4c15230732ec4983ac2b9cbc5a4c370606dc100fa51e620	NORW-EB36C_ARTIC_LoCost	FALSE
ERR4970101	ERS5446098	Coronahit routine	-	LR963203	NORW-EB36C	-	211025b6324a3284ff5d34b9e4b288f0c139220868e317a717f457881c847f7d	f0b86918a12b309492df6cbbeb68a1a874e07c19fa91f0ccb35753165b8250e9	1c5e292644b762ebc4c15230732ec4983ac2b9cbc5a4c370606dc100fa51e620	NORW-EB36C_CoronaHiT-Illumina	FALSE
ERR4968981	ERS5446098	Coronahit routine	-	LR963203	NORW-EB36C	-	237493066be268e0b36dc4a5fe285f1615b320ece513f0ad8775f840bc8e87c5	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	1c5e292644b762ebc4c15230732ec4983ac2b9cbc5a4c370606dc100fa51e620	NORW-EB36C_CoronaHiT-ONT	FALSE
ERR4969098	ERS5446121	Coronahit routine	-	LR963208	NORW-EB37B	-	83f78cb82a7621a59d1253d85a599d8bab3471921605f2925c7f34b5f176dfaf	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	8c1a95cc10d1be37717ae833ee25837795938cd9da96ad11992d1aacaa0fcdf2	NORW-EB37B_ARTIC_LoCost	FALSE
ERR4970125	ERS5446121	Coronahit routine	-	LR963208	NORW-EB37B	-	7840082b4d809142f1541338a9a24e7e53fe63a1ddafe94b1081189d48da50c8	00c1aed143f3c209c5f4f90f6fd0cad9246a6de3f70448d0aff36222610792cf	8c1a95cc10d1be37717ae833ee25837795938cd9da96ad11992d1aacaa0fcdf2	NORW-EB37B_CoronaHiT-Illumina	FALSE
